block,PCR,plate_ID,vial_ID,temp,emerged,sex,fly_no.,date_pupated,date_emerged,pupation,survived_to_mating,date_mated,M_male_survived_mating,M_female_survived_mating,M_female_survived_laying,M_larval,M_adults,F_female_survived_mating,F_male_survived_mating,F_female_survived_laying1,F_egg1,F_larval1,F_adults1,F_female_survived_laying2,F_egg2,F_larval2,F_adults2,F_female_survived_laying3,F_egg3,F_larval3,F_adults3
3,2,2,6,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,6,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,7,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,7,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,7,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,9,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,9,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,10,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,10,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,10,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,10,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,10,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,11,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,11,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,11,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,11,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,11,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
